# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Mar 20 07:19:08 2024
#
# COLUMN StellarName:    Stellar Name
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_lum:         Luminosity [solar]
# COLUMN st_lum_utl:     Utilized Luminosity [solar]
# COLUMN st_dist:        Distance [pc]
# COLUMN hz_inner_au:    Inner HZ Radius [au]
# COLUMN hz_outer_au:    Outer HZ Radius [au]
# COLUMN hz_center_au:   Center HZ Radius [au]
# COLUMN hz_inner_mas:   Inner HZ Radius [mas]
# COLUMN hz_outer_mas:   Outer HZ Radius [mas]
# COLUMN hz_center_mas:  Center HZ Radius [mas]
#
StellarName,st_teff,st_rad,st_lum,st_lum_utl,st_dist,hz_inner_au,hz_outer_au,hz_center_au,hz_inner_mas,hz_outer_mas,hz_center_mas
CoRoT-30,5650.0,0.910,,0.76133,1032.23,0.6544,1.5444,0.8725,0.634,1.496,0.845
CoRoT-31,5700.0,2.150,,4.40223,2005.76,1.5736,3.7137,2.0982,0.785,1.852,1.046
CoRoT-35,6390.0,1.650,,4.09513,1123.21,1.5177,3.5818,2.0236,1.351,3.189,1.802
CoRoT-36,6730.0,1.520,,4.27606,925.96,1.5509,3.6601,2.0679,1.675,3.953,2.233
CoRoT-4,6190.0,1.170,,1.81314,726.41,1.0099,2.3834,1.3465,1.390,3.281,1.854
CoRoT-5,6100.0,1.186,,1.75706,882.47,0.9942,2.3462,1.3255,1.127,2.659,1.502
CoRoT-6,6090.0,1.025,,1.30381,645.29,0.8564,2.0211,1.1418,1.327,3.132,1.769
CoRoT-7,5250.0,,,,159.91,,,,,,
CoRoT-7,5275.0,0.830,,0.48122,159.91,0.5203,1.2278,0.6937,3.254,7.679,4.338
CoRoT-7,5256.0,0.864,0.51359,0.51359,159.91,0.5375,1.2685,0.7167,3.361,7.933,4.482
CoRoT-8,5080.0,0.770,,0.35623,322.04,0.4476,1.0564,0.5969,1.390,3.280,1.853
CoRoT-9,5625.0,0.960,,0.83239,412.98,0.6843,1.6149,0.9124,1.657,3.910,2.209
CoRoTID 223977153,5970.0,0.790,0.70000,0.70000,576.68,0.6275,1.4809,0.8367,1.088,2.568,1.451
DE CVn,,,,,30.52,,,,,,
DENIS-P J082303.1-491201,,,,,,,,,,,
DH Tau,,0.270,,,134.85,,,,,,
DMPP-1,6196.0,1.260,,2.11098,62.54,1.0897,2.5717,1.4529,17.424,41.121,23.232
DMPP-2,6500.0,1.780,1.27000,1.27000,137.94,0.8452,1.9947,1.1269,6.127,14.461,8.170
DMPP-3 A,5138.0,0.910,,0.52066,45.23,0.5412,1.2772,0.7216,11.965,28.237,15.953
DMPP-4,6400.0,1.380,2.88000,2.88000,25.33,1.2728,3.0038,1.6971,50.252,118.594,67.002
DP Leo,,,,,305.68,,,,,,
DS Tuc A,5428.0,0.964,0.72500,0.72500,44.06,0.6386,1.5071,0.8515,14.493,34.204,19.324
EPIC 201170410,3648.0,0.282,,0.01271,,0.0845,0.1995,0.1127,,,
EPIC 201238110,,,,,159.26,,,,,,
EPIC 201427007,5633.0,0.940,,0.80262,706.39,0.6719,1.5857,0.8959,0.951,2.245,1.268
EPIC 201497682,,,,,253.03,,,,,,
EPIC 201595106,5820.0,0.930,,0.89527,232.10,0.7096,1.6748,0.9462,3.057,7.216,4.077
EPIC 201757695,4520.0,0.655,0.43300,0.43300,,0.4935,1.1647,0.6580,,,
EPIC 201841433,5053.0,0.628,,0.23230,436.49,0.3615,0.8531,0.4820,0.828,1.954,1.104
EPIC 206024342,,,,,369.89,,,,,,
EPIC 206024342,5724.0,1.100,,1.17187,369.89,0.8119,1.9161,1.0825,2.195,5.180,2.927
EPIC 206032309,,,,,161.37,,,,,,
EPIC 206042996,4114.0,0.500,,0.06461,451.77,0.1906,0.4499,0.2542,0.422,0.996,0.563
EPIC 206215704,3297.0,0.250,,0.00666,109.89,0.0612,0.1445,0.0816,0.557,1.315,0.743
EPIC 206317286,4752.0,0.758,,0.26433,314.35,0.3856,0.9100,0.5141,1.227,2.895,1.636
EPIC 206317286,,,,,314.35,,,,,,
EPIC 211822797,4057.0,0.580,,0.08222,186.20,0.2151,0.5075,0.2867,1.155,2.726,1.540
EPIC 211945201,6069.0,1.390,,2.36480,181.69,1.1533,2.7219,1.5378,6.348,14.981,8.464
EPIC 212297394,5171.0,0.800,,0.41283,418.39,0.4819,1.1373,0.6425,1.152,2.718,1.536
EPIC 212424622,,,,,611.80,,,,,,
EPIC 212499991,,,,,283.29,,,,,,
EPIC 212587672,6004.0,0.980,,1.12593,320.07,0.7958,1.8781,1.0611,2.486,5.868,3.315
EPIC 212624936,5765.0,0.930,,0.86191,561.93,0.6963,1.6432,0.9284,1.239,2.924,1.652
EPIC 212737443,4684.0,0.673,,0.19670,336.25,0.3326,0.7850,0.4435,0.989,2.335,1.319
EPIC 220492298,5620.0,0.890,,0.71289,624.51,0.6332,1.4945,0.8443,1.014,2.393,1.352
EPIC 220674823,5532.0,0.988,,0.82478,244.59,0.6811,1.6075,0.9082,2.785,6.572,3.713
EPIC 228836835,3782.0,0.320,,0.01890,150.12,0.1031,0.2433,0.1375,0.687,1.621,0.916
EPIC 229004835,5868.0,0.999,,1.06755,121.97,0.7749,1.8288,1.0332,6.353,14.994,8.471
EPIC 246851721,6202.0,1.586,3.36000,3.36000,372.63,1.3748,3.2445,1.8330,3.689,8.707,4.919
EPIC 248847494,4898.0,2.700,,3.78529,551.89,1.4592,3.4437,1.9456,2.644,6.240,3.525
EPIC 249893012,5430.0,1.710,,2.29344,321.30,1.1358,2.6805,1.5144,3.535,8.343,4.713
FU Tau,2838.0,,0.20000,0.20000,,0.3354,0.7916,0.4472,,,
G 264-012,3326.0,0.305,0.01066,0.01066,16.01,0.0774,0.1827,0.1032,4.837,11.415,6.449
G 9-40,3348.0,0.307,0.01069,0.01069,27.93,0.0775,0.1830,0.1034,2.777,6.553,3.702
GJ 1002,3024.0,0.137,0.00141,0.00141,4.85,0.0281,0.0664,0.0375,5.800,13.688,7.733
GJ 1061,2953.0,0.156,0.00170,0.00170,3.67,0.0309,0.0730,0.0412,8.420,19.870,11.226
GJ 1132,3270.0,0.210,0.00438,0.00438,12.61,0.0496,0.1171,0.0662,3.935,9.287,5.247
GJ 1148,3287.0,0.359,0.01352,0.01352,11.01,0.0872,0.2058,0.1163,7.917,18.684,10.556
GJ 1151,3280.0,0.178,0.00331,0.00331,8.04,0.0432,0.1019,0.0576,5.373,12.681,7.165
GJ 1214,3250.0,0.215,0.00460,0.00460,14.64,0.0509,0.1200,0.0678,3.474,8.198,4.632
GJ 1252,3458.0,0.391,0.01960,0.01960,20.37,0.1050,0.2478,0.1400,5.154,12.163,6.872
GJ 1265,3236.0,0.192,0.00364,0.00364,10.25,0.0452,0.1068,0.0603,4.413,10.416,5.885
GJ 143,4640.0,0.695,0.20597,0.20597,16.32,0.3404,0.8033,0.4538,20.857,49.222,27.809
GJ 15 A,3607.0,0.380,0.02213,0.02213,3.56,0.1116,0.2633,0.1488,31.321,73.917,41.761
GJ 160.2,4347.0,,0.16000,0.16000,25.86,0.3000,0.7080,0.4000,11.603,27.383,15.470
GJ 163,,,,,15.13,,,,,,
GJ 179,3370.0,0.380,0.01600,0.01600,12.36,0.0949,0.2239,0.1265,7.677,18.117,10.236
GJ 180,,,,,11.94,,,,,,
GJ 180,3371.0,,0.01300,0.01300,11.94,0.0855,0.2018,0.1140,7.161,16.901,9.549
GJ 2030,,,,,37.08,,,,,,
GJ 2056,,,,,28.44,,,,,,
GJ 229,,,,,5.76,,,,,,
GJ 251,3451.0,0.364,0.01690,0.01690,5.58,0.0975,0.2301,0.1300,17.471,41.232,23.295
GJ 27.1,3542.0,,0.02600,0.02600,23.61,0.1209,0.2854,0.1612,5.123,12.090,6.831
GJ 273,3382.0,0.293,0.00880,0.00880,5.92,0.0704,0.1660,0.0938,11.881,28.040,15.842
GJ 3021,5540.0,0.900,0.66069,0.66069,17.56,0.6096,1.4387,0.8128,34.725,81.950,46.300
GJ 3082,,,,,16.62,,,,,,
GJ 3090,3556.0,0.516,0.04550,0.04550,22.48,0.1600,0.3776,0.2133,7.118,16.799,9.491
GJ 3138,3717.0,0.500,0.04500,0.04500,28.47,0.1591,0.3755,0.2121,5.588,13.188,7.451
GJ 317,,,,,15.20,,,,,,
GJ 3222,,,,,18.24,,,,,,
GJ 328,3897.0,0.630,0.08318,0.08318,20.53,0.2163,0.5105,0.2884,10.538,24.869,14.050
GJ 3293,3466.0,0.404,0.02200,0.02200,20.19,0.1112,0.2625,0.1483,5.510,13.003,7.346
GJ 3323,3159.0,0.119,0.00270,0.00270,5.37,0.0390,0.0920,0.0520,7.251,17.112,9.668
GJ 3341,3526.0,0.439,0.02897,0.02897,23.62,0.1277,0.3013,0.1702,5.405,12.756,7.207
GJ 338 B,4014.0,0.580,0.07920,0.07920,6.33,0.2111,0.4981,0.2814,33.331,78.660,44.441
GJ 3470,3600.0,0.547,,0.04534,29.42,0.1597,0.3769,0.2129,5.428,12.810,7.237
GJ 3473,3347.0,0.364,0.01500,0.01500,27.36,0.0919,0.2168,0.1225,3.357,7.922,4.476
GJ 3512,3081.0,0.139,0.00157,0.00157,9.49,0.0297,0.0701,0.0396,3.133,7.393,4.177
GJ 357,3505.0,0.337,0.01591,0.01591,9.44,0.0946,0.2233,0.1261,10.019,23.646,13.359
GJ 357,3505.0,0.337,,0.01546,9.44,0.0933,0.2201,0.1244,9.878,23.312,13.170
GJ 3634,,0.430,0.02000,0.02000,20.38,0.1061,0.2503,0.1414,5.205,12.283,6.940
GJ 367,3522.0,0.458,0.02890,0.02890,9.41,0.1275,0.3009,0.1700,13.546,31.968,18.061
GJ 3779,3324.0,0.281,0.00867,0.00867,13.74,0.0698,0.1648,0.0931,5.081,11.992,6.775
GJ 3929,3384.0,0.320,0.01090,0.01090,15.81,0.0783,0.1848,0.1044,4.953,11.689,6.604
GJ 393,3579.0,0.426,0.02687,0.02687,7.03,0.1229,0.2901,0.1639,17.484,41.263,23.312
GJ 3942,3867.0,0.610,0.07586,0.07586,16.93,0.2066,0.4875,0.2754,12.202,28.797,16.270
GJ 3988,3273.0,0.197,0.00403,0.00403,9.91,0.0476,0.1123,0.0635,4.802,11.332,6.402
GJ 3998,3722.0,0.490,0.04100,0.04100,18.15,0.1519,0.3584,0.2025,8.369,19.751,11.159
GJ 411,3719.0,0.368,,0.02344,5.68,0.1148,0.2710,0.1531,20.229,47.740,26.972
GJ 414 A,4120.0,0.680,0.11900,0.11900,11.89,0.2587,0.6106,0.3450,21.761,51.356,29.015
GJ 422,,,,,12.66,,,,,,
GJ 4276,3387.0,0.407,0.01970,0.01970,21.34,0.1053,0.2484,0.1404,4.934,11.644,6.578
GJ 433,,,,,9.06,,,,,,
GJ 436,,0.455,,,9.75,,,,,,
GJ 463,3540.0,0.490,,0.03402,18.36,0.1383,0.3265,0.1844,7.536,17.785,10.048
GJ 480,,,,,14.24,,,,,,
GJ 486,3340.0,0.328,0.01210,0.01210,8.07,0.0825,0.1947,0.1100,10.218,24.114,13.624
GJ 504,6234.0,,2.14783,2.14783,17.53,1.0992,2.5940,1.4655,62.702,147.977,83.603
GJ 514,3728.0,0.500,0.04300,0.04300,7.62,0.1555,0.3670,0.2074,20.416,48.181,27.221
GJ 536,3685.0,0.500,0.04198,0.04198,10.41,0.1537,0.3626,0.2049,14.762,34.838,19.683
GJ 581,3396.0,0.330,0.01303,0.01303,6.30,0.0856,0.2020,0.1141,13.591,32.075,18.122
GJ 625,3499.0,0.310,0.01276,0.01276,6.47,0.0847,0.2000,0.1130,13.092,30.896,17.455
GJ 649,3734.0,0.500,0.04355,0.04355,10.38,0.1565,0.3694,0.2087,15.079,35.587,20.106
GJ 667 C,,,,,7.24,,,,,,
GJ 667 C,3350.0,,0.01371,0.01371,7.24,0.0878,0.2072,0.1171,12.122,28.609,16.163
GJ 674,3600.0,,0.01600,0.01600,4.55,0.0949,0.2239,0.1265,20.852,49.211,27.803
GJ 676 A,,,,,16.03,,,,,,
GJ 680,,,,,9.67,,,,,,
GJ 682,3028.0,,0.00200,0.00200,5.01,0.0335,0.0792,0.0447,6.699,15.810,8.932
GJ 685,3816.0,0.540,0.05585,0.05585,14.32,0.1772,0.4183,0.2363,12.381,29.219,16.508
GJ 687,,,,,4.55,,,,,,
GJ 720 A,3837.0,0.560,0.06067,0.06067,15.56,0.1847,0.4360,0.2463,11.875,28.024,15.833
GJ 724,3799.0,0.522,0.05118,0.05118,16.97,0.1697,0.4004,0.2262,10.001,23.602,13.334
GJ 740,3913.0,0.560,0.06223,0.06223,11.10,0.1871,0.4415,0.2495,16.853,39.773,22.470
GJ 806,3600.0,0.414,0.02599,0.02599,12.04,0.1209,0.2853,0.1612,10.038,23.689,13.384
GJ 832,,,,,4.96,,,,,,
GJ 849,3467.0,0.450,0.02570,0.02570,8.80,0.1202,0.2838,0.1603,13.663,32.245,18.217
GJ 86,5182.0,0.770,,0.38572,10.78,0.4658,1.0993,0.6211,43.195,101.940,57.593
GJ 876,,0.300,0.01240,0.01240,4.68,0.0835,0.1971,0.1114,17.864,42.159,23.818
GJ 887,3688.0,0.471,0.03680,0.03680,3.29,0.1439,0.3395,0.1918,43.731,103.205,58.308
GJ 896 A,,,,,6.26,,,,,,
GJ 9066,3154.0,0.164,0.00254,0.00254,4.47,0.0378,0.0892,0.0504,8.454,19.952,11.272
GJ 9404,,,,,23.88,,,,,,
GJ 96,3785.0,,0.08880,0.08880,11.93,0.2235,0.5274,0.2980,18.732,44.206,24.975
GJ 9689,3836.0,0.570,0.06310,0.06310,30.62,0.1884,0.4446,0.2512,6.153,14.520,8.203
GJ 9714,,,,,20.51,,,,,,
GJ 9827,4236.0,0.580,,0.09772,29.66,0.2344,0.5533,0.3126,7.904,18.654,10.539
GPX-1,7000.0,1.560,5.33000,5.33000,655.01,1.7315,4.0864,2.3087,2.643,6.239,3.525
GQ Lup,,,,,151.17,,,,,,
GSC 06214-00210,4200.0,,0.38019,0.38019,108.50,0.4624,1.0914,0.6166,4.262,10.059,5.683
GU Psc,,,,,47.55,,,,,,
Gaia-1,5470.0,0.952,,0.73201,363.66,0.6417,1.5144,0.8556,1.765,4.164,2.353
Gaia-2,5720.0,1.064,,1.09336,209.23,0.7842,1.8508,1.0456,3.748,8.846,4.998
Gl 378,3879.0,0.560,0.06000,0.06000,14.95,0.1837,0.4336,0.2449,12.285,28.992,16.380
Gl 49,3805.0,0.511,0.04938,0.04938,9.85,0.1667,0.3933,0.2222,16.915,39.920,22.554
Gl 686,3656.0,0.427,0.02951,0.02951,8.16,0.1288,0.3041,0.1718,15.795,37.276,21.060
HAT-P-1,5980.0,1.174,,1.59015,158.98,0.9458,2.2320,1.2610,5.949,14.040,7.932
HAT-P-11,4780.0,0.683,,0.21971,37.76,0.3515,0.8297,0.4687,9.309,21.969,12.412
HAT-P-12,4650.0,0.701,0.20989,0.20989,142.75,0.3436,0.8109,0.4581,2.407,5.681,3.209
HAT-P-13,,,,,246.81,,,,,,
HAT-P-14,6600.0,1.820,,5.67042,222.66,1.7859,4.2148,2.3813,8.021,18.929,10.694
HAT-P-15,5568.0,1.070,,0.99280,192.52,0.7473,1.7636,0.9964,3.882,9.161,5.176
HAT-P-16,6158.0,1.237,1.97000,1.97000,226.64,1.0527,2.4843,1.4036,4.645,10.962,6.193
HAT-P-17,5246.0,0.870,,0.51719,92.38,0.5394,1.2729,0.7192,5.838,13.779,7.785
HAT-P-17,5337.0,0.839,0.51412,0.51412,92.38,0.5378,1.2691,0.7170,5.821,13.738,7.761
HAT-P-18,4803.0,0.749,0.26977,0.26977,161.40,0.3895,0.9193,0.5194,2.414,5.696,3.218
HAT-P-19,4962.0,0.773,0.32700,0.32700,202.08,0.4289,1.0122,0.5718,2.122,5.009,2.830
HAT-P-2,6380.0,1.390,3.38844,3.38844,127.77,1.3806,3.2582,1.8408,10.805,25.499,14.406
HAT-P-2,,,,,127.77,,,,,,
HAT-P-20,4595.0,0.694,0.19011,0.19011,71.04,0.3270,0.7717,0.4360,4.603,10.864,6.138
HAT-P-21,5588.0,1.210,,1.28793,277.28,0.8512,2.0087,1.1349,3.070,7.244,4.093
HAT-P-22,5302.0,1.110,,0.87842,81.76,0.7029,1.6589,0.9372,8.597,20.289,11.463
HAT-P-23,5905.0,1.203,1.58125,1.58125,364.81,0.9431,2.2257,1.2575,2.585,6.101,3.447
HAT-P-24,6373.0,1.380,,2.83420,415.34,1.2626,2.9798,1.6835,3.040,7.174,4.053
HAT-P-25,5519.0,0.919,0.70500,0.70500,300.38,0.6297,1.4862,0.8396,2.096,4.948,2.795
HAT-P-26,5079.0,0.870,,0.45441,141.84,0.5056,1.1932,0.6741,3.564,8.412,4.753
HAT-P-27,5316.0,0.865,0.53795,0.53795,199.17,0.5501,1.2982,0.7334,2.762,6.518,3.682
HAT-P-28,5680.0,1.103,1.12980,1.12980,401.32,0.7972,1.8814,1.0629,1.986,4.688,2.649
HAT-P-29,6087.0,1.300,,2.09313,313.58,1.0851,2.5608,1.4468,3.460,8.166,4.614
HAT-P-3,5185.0,0.870,,0.49355,134.55,0.5269,1.2435,0.7025,3.916,9.241,5.221
HAT-P-30,6304.0,1.310,,2.44514,213.99,1.1728,2.7677,1.5637,5.481,12.934,7.307
HAT-P-31,6065.0,1.390,,2.35857,344.05,1.1518,2.7183,1.5358,3.348,7.901,4.464
HAT-P-32,6001.0,1.367,2.17800,2.17800,289.20,1.1069,2.6122,1.4758,3.827,9.032,5.103
HAT-P-33,6446.0,1.790,,4.99073,396.11,1.6755,3.9542,2.2340,4.230,9.983,5.640
HAT-P-34,6442.0,1.530,,3.63716,249.32,1.4304,3.3756,1.9071,5.737,13.539,7.649
HAT-P-35,6096.0,1.435,,2.56555,506.96,1.2013,2.8351,1.6017,2.370,5.592,3.159
